question,options,correct_answer
“Nanuq” is the Inuit word for what animal?’50:50’ lifeline used,"['⬥ A:Seal', '⬥ B:Polar bear', '⬥ C:Wolf', '⬥ D:Whale']",⬥ B:Polar bear
"According to its label, Murphy Oil Soap ""Safety Cleans"" what surface?'Ask the Audience' lifeline used","['⬥ A:Cement', '⬥ B:Marble', '⬥ C:Wood', '⬥ D:Glass']",⬥ C:Wood
"According to an old saying, ""Possession is nine-tenths of the"" what?","['⬥ A:Law', '⬥ B:Business', '⬥ C:Pleasure', '⬥ D:Battle']",⬥ A:Law
"By definition, a nocturne is a work of art depicting what?","['⬥ A:Day', '⬥ B:Night', '⬥ C:Heaven', '⬥ D:Nature']",⬥ A:Day
"Since 1983, who has been the sole anchor of ""NBC Nightly News""?'50:50' lifeline used","['⬥ A:Tom Brokaw', '⬥ B:Bernard Shaw', '⬥ C:Ted Koppel', '⬥ D:David Brinkley']",⬥ A:Tom Brokaw
"When the U.S. national anthem is played, it is customary for men to remove their what?","['⬥ A:Hats', '⬥ B:Jackets', '⬥ C:Neckties', '⬥ D:Toupees']",⬥ A:Hats
What is the nationality of children's book character Harry Potter?,"['⬥ A:German', '⬥ B:American', '⬥ C:English', '⬥ D:French']",⬥ C:English
Headgear is a device often worn by teenagers to help do what?,"['⬥ A:Lose weight', '⬥ B:Straighten teeth', '⬥ C:Prevent sunburn', '⬥ D:Improve hearing']",⬥ B:Straighten teeth
"By definition, a translucent object allows what to pass through it?","['⬥ A:Electricity', '⬥ B:Water', '⬥ C:Air', '⬥ D:Light']",⬥ D:Light
"According to the title of a 1985 Tears for Fears song, ""Everybody Wants to"" do what?","['⬥ A:Sell Their Soul', '⬥ B:Make a Difference', '⬥ C:Rule the World', '⬥ D:Find Somebody']",⬥ C:Rule the World
Which of these islands shares its name with a popular computer language?,"['⬥ A:Java', '⬥ B:Malta', '⬥ C:Crete', '⬥ D:Cyprus']",⬥ A:Java
A single term for members of the U.S. House of Representatives lasts how many years?,"['⬥ A:2', '⬥ B:4', '⬥ C:6', '⬥ D:8']",⬥ A:2
Most of the over 800 known Dead Sea Scrolls are written in what language?'50:50' and 'Phone-a-Friend'lifelinesused,"['⬥ A:Greek', '⬥ B:Hebrew', '⬥ C:Latin', '⬥ D:Sanskrit']",⬥ B:Hebrew
The U.S. tested its first atomic bomb in 1945 near what location?'Ask the Audience'lifelineused,"['⬥ A:Amchitka, AK', '⬥ B:Hattiesburg, MS', '⬥ C:Alamogordo, NM', '⬥ D:Farmington, CO']","⬥ C:Alamogordo, NM"
"Jean Auel's 2002 book ""The Shelters of Stone"" continues the series that began with what 1980 novel?","['⬥ A:The Clan of the Cave Bear', '⬥ B:The Name of the Rose', ""⬥ C:Mistral's Daughter"", '⬥ D:The Lonesome Gods']",⬥ A:The Clan of the Cave Bear
A turophile is a gourmet who specializes in what kind of food?,"['⬥ A:Caviar', '⬥ B:Fruit', '⬥ C:Chocolate', '⬥ D:Cheese']",⬥ D:Cheese
Queen Victoria's 1840 wedding is credited with popularizing what tradition?,"['⬥ A:Tossing a bouquet', '⬥ B:White bridal gown', '⬥ C:Throwing rice', '⬥ D:Flower girls']",⬥ B:White bridal gown
"Which of these movie stars is not mentioned in Madonna's 1990 song ""Vogue""?'Phone-a-Friend' lifeline used","['⬥ A:Bette Davis', '⬥ B:Rita Hayworth', '⬥ C:Fred Astaire', '⬥ D:Cary Grant']",⬥ D:Cary Grant
"The military alert term ""DEFCON"" is short for what?","['⬥ A:Defined Containment', '⬥ B:Defense Condition', '⬥ C:Deflected Contest', '⬥ D:Definite Conflict']",⬥ B:Defense Condition
"Nicknamed ""Old Ironsides,"" the U.S.S. Constitution is docked outside what city?","['⬥ A:Philadelphia', '⬥ B:Baltimore', '⬥ C:New York', '⬥ D:Boston']",⬥ D:Boston
"Quoting economist Adam Smith, Napoleon dismissed England as ""nation of"" what?","['⬥ A:Shopkeepers', '⬥ B:Haberdashers', '⬥ C:Fox hunters', '⬥ D:Carpenters']",⬥ A:Shopkeepers
The video game system Atari takes its name from a term used in what game?'50:50 lifeline used',"['⬥ A:Chinese checkers', '⬥ B:Parcheesi', '⬥ C:Mah-jongg', '⬥ D:Go']",⬥ D:Go
"The ""D.C."" in the name of our nation's capital stands for ""District of"" what?","['⬥ A:Columbia', '⬥ B:Chesapeake', '⬥ C:Cambridge', '⬥ D:Crooks']",⬥ A:Columbia
"What rock group was nicknamed ""The Fab Four""?","['⬥ A:The Rolling Stones', '⬥ B:The Beatles', '⬥ C:The Who', '⬥ D:The Kinks']",⬥ B:The Beatles
Which of these parts of an oak tree contains most of its chlorophyll?,"['⬥ A:Leaf', '⬥ B:Root', '⬥ C:Acorn', '⬥ D:Bark']",⬥ A:Leaf
What type of celestial body is often described as having a head and tail?,"['⬥ A:Moon', '⬥ B:Star', '⬥ C:Black hole', '⬥ D:Comet']",⬥ D:Comet
"In the U.S., what kind of omelet is traditionally served with chopped green pepper, onion, and tomato?","['⬥ A:Spanish', '⬥ B:French', '⬥ C:Italian', '⬥ D:German']",⬥ A:Spanish
"""Tale as old as time"" is the opening line of what Oscar-winning song?","['⬥ A:My Heart Will Go On', '⬥ B:Up Where We Belong', '⬥ C:Beauty and the Beast', '⬥ D:A Whole New World']",⬥ C:Beauty and the Beast
"In 1964, what gas company began a Christmas tradition when it released a toy truck bearing its logo?'Ask the Audience' lifeline used","['⬥ A:Amoco', '⬥ B:Hess', '⬥ C:Gulf', '⬥ D:Texaco']",⬥ B:Hess
"In 1995, Air Force pilot Scott O'Grady was rescued six days after being shot down over what country?","['⬥ A:North Korea', '⬥ B:Iraq', '⬥ C:China', '⬥ D:Bosnia']",⬥ D:Bosnia
"The 1987 movie ""The Princess Bride"" features a criminal mastermind who often uses what word?","['⬥ A:Voluminous', '⬥ B:Fallacious', '⬥ C:Scrumptious', '⬥ D:Inconceivable']",⬥ D:Inconceivable
"What kind of athletes participate in an event known as the ""Super G""?","['⬥ A:Skiers', '⬥ B:Ice skaters', '⬥ C:Cyclists', '⬥ D:Runners']",⬥ A:Skiers
What leader traditionally receives a ceremonial gold ring called the Ring of the Fisherman?'Phone-a-Friend' lifeline used,"['⬥ A:Shah of Iran', '⬥ B:Pope', '⬥ C:British Prime Minister', '⬥ D:Dalai Lama']",⬥ B:Pope
"According to superstition, garlic worn around the neck protects a person from which of the following?","['⬥ A:Werewolves', '⬥ B:Bad weather', '⬥ C:Vampires', '⬥ D:Lasting relationships']",⬥ C:Vampires
Which of these insects is closely related to the grasshopper?,"['⬥ A:Ladybug', '⬥ B:Wasp', '⬥ C:Butterfly', '⬥ D:Cricket']",⬥ D:Cricket
"On July 20, 1969, Neil Armstrong famously said, “The Eagle has” what?","['⬥ A:Flown', '⬥ B:Landed', '⬥ C:Triumphed', '⬥ D:Arrived']",⬥ B:Landed
"In the Bible, God reveals himself to Moses in the form of a what?","['⬥ A:Fruit tree', '⬥ B:Snake', '⬥ C:Burning bush', '⬥ D:Golden calf']",⬥ C:Burning bush
"What credit car’s classic ads featured celebrities asking, “Do you know?”?“Ask the Audience” lifeline used.","['⬥ A:American Express', '⬥ B:MasterCard', '⬥ C:Visa', '⬥ D:Diner’s Club']",⬥ A:American Express
"In 2001, Andre Agassi married what women’s tennis star in a price Las Vegas ceremony?","['⬥ A:Lindsay Davenport', '⬥ B:Jennifer Capriati', '⬥ C:Martina Hingis', '⬥ D:Steffi Graf']",⬥ D:Steffi Graf
The historic Ford’s Theatre is located in what U.S. city?,"['⬥ A:Washington, D.C.', '⬥ B:Chicago', '⬥ C:Philadelphia', '⬥ D:Richmond']","⬥ A:Washington, D.C."
American tycoon Andrew Carnegie made his fortune in what industry?,"['⬥ A:Oil', '⬥ B:Fur', '⬥ C:Steel', '⬥ D:Real estate']",⬥ C:Steel
What John Waters movie was adapted into a hit Broadway musical that opened in 2002?'Phone-a-Friend' lifeline used,"['⬥ A:Hairspray', '⬥ B:Cry-Baby', '⬥ C:Polyester', '⬥ D:Pink Flamingos']",⬥ A:Hairspray
What is the highest level in the Hindu caste system?’50:50' lifeline used,"['⬥ A:Sudra', '⬥ B:Kshatriya', '⬥ C:Valsya', '⬥ D:Drahman']",⬥ D:Drahman
What type of animal is a snook?,"['⬥ A:Bird', '⬥ B:Fish', '⬥ C:Lizard', '⬥ D:Insect']",⬥ B:Fish
What bird lays the largest egg?,"['⬥ A:Ostrich', '⬥ B:Falcon', '⬥ C:Penguin', '⬥ D:NBC peacock']",⬥ A:Ostrich
"According to legend, George Washington refused to lie about chopping down what kind of tree?","['⬥ A:Peach tree', '⬥ B:Willow tree', '⬥ C:Cherry tree', '⬥ D:Oak tree']",⬥ C:Cherry tree
"In mathematics, what are classified as acute, obtuse, or right?","['⬥ A:Angles', '⬥ B:Bases', '⬥ C:Curves', '⬥ D:Axes']",⬥ A:Angles
What is the name of the substance that makes up the hard outer surface of a human tooth?,"['⬥ A:Dentin', '⬥ B:Enamel', '⬥ C:Cementum', '⬥ D:Porcelain']",⬥ B:Enamel
"On the game show ""Wheel of Fortune,"" how much does it cost to buy a vowel?","['⬥ A:$50', '⬥ B:$100', '⬥ C:$250', '⬥ D:$500']",⬥ C:$250
Which of these musical instruments would most likely be played at a luau?,"['⬥ A:Harp', '⬥ B:Ukulele', '⬥ C:Piano', '⬥ D:Hawaii Five-Oboe']",⬥ B:Ukulele
"Which of the following is usually considered a ""red"" meat?","['⬥ A:Pork', '⬥ B:Chicken', '⬥ C:Beef', '⬥ D:Turkey']",⬥ C:Beef
"Geoffrey, the mascot of Toys ""R"" Us, is what type of animal?","['⬥ A:Giraffe', '⬥ B:Jackal', '⬥ C:Gorilla', '⬥ D:Gerbil']",⬥ A:Giraffe
"In a 1973 hit single, Elton John sings ""Goodbye"" to what?","['⬥ A:Garden of Eden', '⬥ B:Neverland', '⬥ C:White Picket Fence', '⬥ D:Yellow Brick Road']",⬥ D:Yellow Brick Road
"In a famous line from Shakespeare, what emotion is called the ""green-eyed monster""?","['⬥ A:Happiness', '⬥ B:Sympathy', '⬥ C:Remorse', '⬥ D:Jealousy']",⬥ D:Jealousy
"By definition, a vintner is a person who makes or sells what?","['⬥ A:Candy', '⬥ B:Wine', '⬥ C:Mirrors', '⬥ D:Cheese']",⬥ B:Wine
